1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
1	1	117429106	33
2	4	117427377	27
3	2	117421389	39
4	3	117425084	10
5	4	117429111	10
6	3	117421778	52
7	1	117429106	34
8	4	117421103	39
9	1	117428166	38
10	2	117428888	79
