1	a
2	b
3	c
4	d
5	a
6	b
7	c
8	b
9	a
10	b
11	c
12	a
13	b
14	c
15	d
16	e
17	f
18	a
19	b
20	c
21	e
22	b
23	a
24	b
25	e
26	d
27	e
28	a
29	b
30	e
31	d
32	d
33	b
34	s
35	e
36	a
37	g
38	e
39	d
40	d
41	s
42	s
43	e
44	a
45	f
46	s
47	s
48	g
49	a
50	b
51	e
52	b
53	s
54	c
55	d
56	a
57	b
58	c
59	d
60	a
61	b
62	c
63	d
64	a
65	b
66	c
67	d
68	a
69	b
70	c
71	d
72	a
73	b
74	c
75	b
76	a
77	b
78	c
79	a
80	b
81	c
82	d
83	e
84	f
85	a
86	b
87	c
88	e
89	b
90	a
91	b
92	e
93	d
94	e
95	a
96	b
97	e
98	d
99	d
100	b
101	s
102	e
103	a
104	g
105	e
106	d
107	d
108	s
109	s
110	e
111	a
112	f
113	s
114	s
115	g
116	a
117	b
118	e
119	b
120	s
121	c
122	d
123	a
124	b
125	c
126	d
127	a
128	b
129	c
130	d
131	a
132	b
133	c
134	d
135	a
136	b
137	c
138	d
139	a
140	b
141	c
142	b
143	a
144	b
145	c
146	a
147	b
148	c
149	d
150	e
151	f
152	a
153	b
154	c
155	e
156	b
157	a
158	b
159	e
160	d
161	e
162	a
163	b
164	e
165	d
166	d
167	b
168	s
169	e
170	a
171	g
172	e
173	d
174	d
175	s
176	s
177	e
178	a
179	f
180	s
181	s
182	g
183	a
184	b
185	e
186	b
187	s
188	c
189	d
190	a
191	b
192	c
193	d
194	a
195	b
196	c
197	d
198	a
199	b
200	c
201	d
