1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
1	1	33
2	4	27
3	2	39
4	3	10
5	4	10
6	3	52
7	1	34
8	4	39
9	1	38
10	2	79
