20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
20	4	117421103	39
20	1	117428166	38
10	2	117428888	79
20	1	117429106	33
40	4	117427377	27
30	2	117421389	39
20	3	117425084	10
20	4	117429111	10
30	3	117421778	52
30	1	117429106	34
